 v-sweep         v(VREF)         v(VIN)          v(VOUT)        
 3.03000000e-01  2.50000000e-01  3.03000000e-01  9.46191162e-01 
 3.04000000e-01  2.50000000e-01  3.04000000e-01  9.62799555e-01 
 3.05000000e-01  2.50000000e-01  3.05000000e-01  9.79918880e-01 
 3.06000000e-01  2.50000000e-01  3.06000000e-01  9.97544902e-01 
 3.07000000e-01  2.50000000e-01  3.07000000e-01  1.01570851e+00 
 3.08000000e-01  2.50000000e-01  3.08000000e-01  1.03443748e+00 
 3.09000000e-01  2.50000000e-01  3.09000000e-01  1.05371778e+00 
 3.10000000e-01  2.50000000e-01  3.10000000e-01  1.07355063e+00 
 3.11000000e-01  2.50000000e-01  3.11000000e-01  1.09401462e+00 
 3.12000000e-01  2.50000000e-01  3.12000000e-01  1.11502164e+00 
 3.13000000e-01  2.50000000e-01  3.13000000e-01  1.13664363e+00 
 3.14000000e-01  2.50000000e-01  3.14000000e-01  1.15887717e+00 
 3.15000000e-01  2.50000000e-01  3.15000000e-01  1.18173422e+00 
 3.16000000e-01  2.50000000e-01  3.16000000e-01  1.20519100e+00 
 3.17000000e-01  2.50000000e-01  3.17000000e-01  1.22924375e+00 
 3.18000000e-01  2.50000000e-01  3.18000000e-01  1.25391391e+00 
 3.19000000e-01  2.50000000e-01  3.19000000e-01  1.27918407e+00 
 3.20000000e-01  2.50000000e-01  3.20000000e-01  1.30500421e+00 
 3.21000000e-01  2.50000000e-01  3.21000000e-01  1.33131509e+00 
 3.22000000e-01  2.50000000e-01  3.22000000e-01  1.35809900e+00 
 3.23000000e-01  2.50000000e-01  3.23000000e-01  1.38519363e+00 
 3.24000000e-01  2.50000000e-01  3.24000000e-01  1.41246641e+00 
 3.25000000e-01  2.50000000e-01  3.25000000e-01  1.43961143e+00 
 3.26000000e-01  2.50000000e-01  3.26000000e-01  1.46616277e+00 
 3.27000000e-01  2.50000000e-01  3.27000000e-01  1.49136929e+00 
 3.28000000e-01  2.50000000e-01  3.28000000e-01  1.51404745e+00 
 3.29000000e-01  2.50000000e-01  3.29000000e-01  1.53310507e+00 
 3.30000000e-01  2.50000000e-01  3.30000000e-01  1.54807561e+00 
 3.31000000e-01  2.50000000e-01  3.31000000e-01  1.55941478e+00 
 3.32000000e-01  2.50000000e-01  3.32000000e-01  1.56810777e+00 
 3.33000000e-01  2.50000000e-01  3.33000000e-01  1.57507783e+00 
 3.34000000e-01  2.50000000e-01  3.34000000e-01  1.58090624e+00 
 3.35000000e-01  2.50000000e-01  3.35000000e-01  1.58592508e+00 
 3.36000000e-01  2.50000000e-01  3.36000000e-01  1.59035532e+00 
 3.37000000e-01  2.50000000e-01  3.37000000e-01  1.59434862e+00 
 3.38000000e-01  2.50000000e-01  3.38000000e-01  1.59800818e+00 
 3.39000000e-01  2.50000000e-01  3.39000000e-01  1.60140383e+00 
 3.40000000e-01  2.50000000e-01  3.40000000e-01  1.60459254e+00 
 3.41000000e-01  2.50000000e-01  3.41000000e-01  1.60761040e+00 
 3.42000000e-01  2.50000000e-01  3.42000000e-01  1.61048922e+00 
 3.43000000e-01  2.50000000e-01  3.43000000e-01  1.61325009e+00 
 3.44000000e-01  2.50000000e-01  3.44000000e-01  1.61591297e+00 
 3.45000000e-01  2.50000000e-01  3.45000000e-01  1.61848909e+00 
 3.46000000e-01  2.50000000e-01  3.46000000e-01  1.62099475e+00 
 3.47000000e-01  2.50000000e-01  3.47000000e-01  1.62343476e+00 
 3.48000000e-01  2.50000000e-01  3.48000000e-01  1.62581885e+00 
 3.49000000e-01  2.50000000e-01  3.49000000e-01  1.62815259e+00 
